Grattan_record	Symbol	Company	Cost ($m)	Project	Date start	Completion date	Status	Major industry	Sub-industry	State	Employment Construction	Operation	Contact No.	sheet	Start date	Employment Operation	Change 	Total cost	Production date	               Employment Construction	Total cost $m	End date	Major sector	Sub-sector	Ownership	Capacity	Units	Project detail changes	Statistical Division	Lucille_Ownership
8206.0	NA	Connell Wagner	NA	Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	196.0	Sep 2009	Plans announced	NA	NA	NA	NA	NA	2e3	NA	Engineering	Roads, highways and subdivisions	Private	NA	NA	NA	NA	Public
8206.0	NA	Connell Wagner	NA	Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	196.0	Dec 2009	Plans announced	NA	NA	NA	NA	NA	2e3	NA	Engineering	Roads, highways and subdivisions	Private	NA	NA	NA	NA	Public
8206.0	NA	Connell Wagner	NA	Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	196.0	Mar 2010	Plans announced	NA	NA	NA	NA	NA	2e3	NA	Engineering	Roads, highways and subdivisions	Private	NA	NA	NA	NA	Public
8206.0	NA	Connell Wagner	NA	Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	196.0	Jun 2010	Plans announced	NA	NA	NA	NA	NA	2e3	NA	Engineering	Roads, highways and subdivisions	Private	NA	NA	NA	NA	Public
8206.0	NA	Connell Wagner	NA	WestLink: Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	196.0	Sep 2010	Planning underway for a 2013 start	NA	NA	NA	NA	NA	2800.0	2017	Engineering	Roads, highways and subdivisions	Private	NA	NA	Jul10: Cost increased from $2 billion to $2.8 billion.	NA	Public
8206.0	NA	Connell Wagner	NA	WestLink: Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	205.0	Dec 2010	Planning underway for a 2013 start	NA	NA	NA	NA	NA	2800.0	2017	Engineering	Roads, highways and subdivisions	Private	NA	NA	NA	NA	Public
8206.0	NA	Connell Wagner	NA	WestLink: Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	206.0	Mar 2011	Planning underway for a 2013 start	NA	NA	NA	NA	NA	2800.0	2017	Engineering	Roads, highways and subdivisions	Private	NA	NA	NA	NA	Public
8206.0	NA	Connell Wagner	NA	WestLink: Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	206.0	Jun 2011	Planning underway for a 2013 start	NA	NA	NA	NA	NA	2800.0	2017	Roads, highways and subdivisions	Engineering	Private	NA	NA	NA	NA	Public
8206.0	NA	Connell Wagner	NA	WestLink: Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	208.0	Sep 2011	Planning underway for a 2013 start	NA	NA	NA	NA	NA	2800.0	2017	Engineering	Roads, highways and subdivisions	Private	NA	NA	NA	NA	Public
8206.0	NA	Connell Wagner	NA	WestLink: Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	208.0	Dec 2011	Planning underway for a 2013 start	NA	NA	NA	NA	NA	2800.0	2017	Engineering	Roads, highways and subdivisions	Private	NA	NA	NA	NA	Public
8206.0	NA	Connell Wagner	NA	WestLink: Construction of a road and rail tunnel under the West Gate Bridge from Port Melbourne to Altona North, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	74.0	Mar 2012	Planning underway for a 2013 start	NA	NA	NA	NA	NA	2800.0	2017	Engineering	Roads, highways and subdivisions	Private	NA	NA	NA	Melbourne	Public
8206.0	NA	Linking Melbourne Authority	NA	EastWest Link: 18 km road connection between the Eastern Freeway and Western Ring Road, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	NA	Jun 2012	Planning underway for a 2013 start	NA	NA	NA	NA	NA	2800.0	2017	Engineering	Roads, highways and subdivisions	Private	18.0	km	NA	Melbourne	Public
8206.0	NA	Linking Melbourne Authority	NA	EastWest Link: 18 km road connection between the Eastern Freeway and Western Ring Road, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	NA	Sep 2012	Still being negotiated	NA	~	NA	NA	NA	1e4	2017	Engineering	Roads, highways and subdivisions	Private	18.0	km	Sep12: Cost upgraded to $10b from $2.8b. Start date not determined.	Melbourne	Public
8206.0	NA	Linking Melbourne Authority	NA	EastWest Link: 18 km road connection between the Eastern Freeway and Western Ring Road, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	199.0	Dec 2012	Still being negotiated	NA	NA	NA	NA	NA	1e4	2017	Engineering	Roads, highways and subdivisions	Private	18.0	km	NA	Melbourne	Public
8206.0	NA	Linking Melbourne Authority	NA	EastWest Link: 18 km road connection between the Eastern Freeway and Western Ring Road, Melbourne	NA	NA	Possible	Transport & Storage	Road	Victoria	NA	NA	208.0	Mar 2013	Still being negotiated	NA	NA	NA	NA	NA	1e4	2017	Engineering	Roads, highways and subdivisions	Private	18.0	km	NA	Melbourne	Public
8206.0	NA	Linking Melbourne Authority	NA	EastWest Link (Stage 1): 18 km road connection between the Eastern Freeway and Western Ring Road, Melbourne	NA	NA	Committed	Transport & Storage	Road	Victoria	NA	NA	211.0	Sep 2013	2014	NA	NA	NA	NA	NA	8e3	2019	Engineering	Roads, highways and subdivisions	PPP	18.0	km	NA	Melbourne	Public
8206.0	NA	Linking Melbourne Authority	NA	EastWest Link (Stage 1): 18 km road connection between the Eastern Freeway and Western Ring Road, Melbourne	NA	NA	Committed	Transport & Storage	Road	Victoria	NA	NA	211.0	Dec 2013	2014	NA	NA	NA	NA	NA	8e3	2019	Engineering	Roads, highways and subdivisions	PPP	18.0	km	NA	Melbourne	Public
8206.0	NA	Linking Melbourne Authority	NA	EastWest Link (Stage 1): 18 km road connection between the Eastern Freeway and Western Ring Road, Melbourne	NA	NA	Committed	Transport & Storage	Road	Victoria	NA	NA	190.0	Mar 2014	2014	NA	NA	NA	NA	NA	8e3	2019	Engineering	Roads, highways and subdivisions	PPP	18.0	km	NA	Melbourne	Public
8206.0	NA	Linking Melbourne Authority	NA	EastWest Link (Stage 1): 18 km road connection between the Eastern Freeway and Western Ring Road, Melbourne	NA	NA	Committed	Transport & Storage	Road	Victoria	NA	NA	190.0	Jun 2014	End 2015	NA	~	NA	NA	NA	8e3	2019	Engineering	Roads, highways and subdivisions	PPP	18.0	km	Apr14: Beginning of construction pushed back from 2014 to end 2015.	Melbourne	Public
8206.0	NA	Linking Melbourne Authority	NA	EastWest Link: 18 km road connection between the Eastern Freeway and Western Ring Road, Melbourne	NA	NA	Committed	Transport & Storage	Road	Victoria	NA	NA	190.0	Sep 2014	End 2014	NA	~	NA	NA	NA	14e3	2019	Engineering	Roads, highways and subdivisions	PPP	18.0	km	Aug 14: Cost increased from $8bn to $14bn to account for Western section estimated of $8-10bn and Eastern section estimates of $6-8bn	Melbourne	Public
8267.0	NA	Westbus Pty Ltd	NA	Purchase of 160 buses to be used on Westbus networks throughout Sydney	NA	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	761.0	Sep 2009	2H 2006	NA	NA	NA	NA	NA	74.0	2009	Machinery and Equipment	NA	Private	NA	NA	NA	NA	Public
8267.0	NA	Westbus Pty Ltd	NA	Purchase of 160 buses to be used on Westbus networks throughout Sydney	NA	NA	Under construction	Transport & Storage	Road	New South Wales	NA	NA	761.0	Dec 2009	2H 2006	NA	NA	NA	NA	NA	74.0	2009	Machinery and Equipment	NA	Private	NA	NA	NA	NA	Public
8358.0	NA	Central Queensland Port Authority	NA	Construction of the electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $1bn)	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	541.0	Sep 2009	2H 2009	NA	NA	NA	NA	NA	450.0	2012	Engineering	Railways	Public	70.0	Mtpa	NA	NA	Private
8358.0	NA	Central Queensland Port Authority	NA	Construction of the electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $1bn)	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	541.0	Dec 2009	2H 2009	NA	NA	NA	NA	NA	450.0	2012	Engineering	Railways	Public	70.0	Mtpa	NA	NA	Private
8358.0	NA	Central Queensland Port Authority	NA	Construction of the electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $1bn)	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	541.0	Mar 2010	2H 2009	NA	NA	NA	NA	NA	450.0	2012	Engineering	Railways	Public	70.0	Mtpa	NA	NA	Private
8358.0	NA	Central Queensland Port Authority	NA	Construction of the electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $1bn)	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	541.0	Jun 2010	2H 2009	NA	NA	NA	NA	NA	450.0	2012	Engineering	Railways	Public	70.0	Mtpa	NA	NA	Private
8358.0	NA	Central Queensland Port Authority	NA	Construction of the electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $1.98bn)	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	541.0	Sep 2010	2011	NA	~	NA	NA	NA	900.0	2014	Engineering	Railways	Public	70.0	Mtpa	Sep10: Scheduled to commence construction in 2011.	NA	Private
8358.0	NA	Central Queensland Port Authority	NA	Construction of the electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $1.98bn)	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	558.0	Dec 2010	2011	NA	NA	NA	NA	NA	900.0	2014	Engineering	Railways	Public	70.0	Mtpa	NA	NA	Private
8358.0	NA	Central Queensland Port Authority	NA	Construction of the electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $1.98bn)	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	563.0	Mar 2011	2011	NA	NA	NA	NA	NA	900.0	2014	Engineering	Railways	Public	70.0	Mtpa	NA	NA	Private
8358.0	NA	Central Queensland Port Authority	NA	Construction of the electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $1.98bn)	NA	NA	Committed	Transport & Storage	Rail	Queensland	NA	NA	563.0	Jun 2011	2011	NA	NA	NA	NA	NA	900.0	2014	Railways	Engineering	Public	70.0	Mtpa	NA	NA	Private
8358.0	NA	Central Queensland Port Authority	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $1.98bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	568.0	Sep 2011	1H 2011	NA	~^	NA	NA	NA	1e3	Late 2013	Engineering	Railways	Public	70.0	Mtpa	Aug11: Project is progressing construction.	NA	Private
8358.0	NA	Central Queensland Port Authority	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	568.0	Dec 2011	1H 2011	NA	~	NA	NA	NA	1e3	Late 2013	Engineering	Railways	Public	70.0	Mtpa	Oct11: Total cost is $2.5 billion from $1.98 billion.	NA	Private
8358.0	NA	Central Queensland Port Authority	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	208.0	Mar 2012	1H 2011	NA	NA	NA	NA	NA	1e3	Late 2013	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	208.0	Jun 2012	1H 2011	NA	NA	NA	NA	NA	1e3	Late 2013	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	208.0	Sep 2012	1H 2011	NA	NA	NA	NA	NA	1e3	Late 2013	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	148.0	Dec 2012	1H 2011	NA	NA	NA	NA	NA	1e3	Late 2013	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	155.0	Mar 2013	1H 2011	NA	NA	NA	NA	NA	1e3	Late 2013	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	155.0	Jun 2013	1H 2011	NA	NA	NA	NA	NA	1e3	Late 2013	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	157.0	Sep 2013	1H 2011	NA	NA	NA	NA	NA	1e3	Late 2013	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	157.0	Dec 2013	1H 2011	NA	~	NA	NA	NA	1e3	2014	Engineering	Railways	Public	70.0	Mtpa	Dec13: End date is 2014 from Late 2013.	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	137.0	Mar 2014	1H 2011	NA	NA	NA	NA	NA	1e3	2014	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	137.0	Jun 2014	1H 2011	NA	NA	NA	NA	NA	1e3	2014	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	137.0	Sep 2014	1H 2011	NA	NA	NA	NA	NA	1e3	2014	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	137.0	Dec 2014	2011	NA	~	NA	NA	NA	1e3	Q1 2015	Engineering	Railways	Public	70.0	Mtpa	Dec 14: End date changed from 2014 to Q1 2015.	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	137.0	Mar 2015	2011	NA	~	NA	NA	NA	1e3	Q2 2015	Engineering	Railways	Public	70.0	Mtpa	Mar 15: End date changed from Q1 2015 to Q2 2015.	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	NA	Jun 2015	2011	NA	NA	NA	NA	NA	1e3	2015	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8358.0	NA	Gladstone Ports Corporation 	NA	Moura Link-Aldoga Rail: electrified rail and supporting infrastructure, Coal terminal, Wiggins Island, Port of Gladstone -  (part of stage 1, total cost $2.5 bn)	NA	NA	Under construction	Transport & Storage	Rail	Queensland	NA	NA	NA	Sep 2015	2011	NA	NA	NA	NA	NA	1e3	2015	Engineering	Railways	Public	70.0	Mtpa	NA	Fitzroy	Private
8566.0	NA	Leighton Holdings / Macquarie Group	NA	Airport Link - a continuation of the NSBT mainly by tunnel north to Sandgate Road, Gympie Road and the East-West Arterial, linking to Airport Drive. 	NA	NA	Under construction	Transport & Storage	Road	Queensland	NA	NA	402.0	Sep 2009	Late 2008	NA	NA	NA	NA	NA	3400.0	Mid 2012	Engineering	Roads, highways and subdivisions	PPP	NA	NA	NA	NA	Public
8566.0	NA	Leighton Holdings / Macquarie Group	NA	Airport Link - a continuation of the NSBT mainly by tunnel north to Sandgate Road, Gympie Road and the East-West Arterial, linking to Airport Drive. 	NA	NA	Under construction	Transport & Storage	Road	Queensland	NA	NA	402.0	Dec 2009	Late 2008	NA	NA	NA	NA	NA	3400.0	Mid 2012	Engineering	Roads, highways and subdivisions	PPP	NA	NA	NA	NA	Public
8566.0	NA	Leighton Holdings / Macquarie Group	NA	Airport Link - a continuation of the NSBT mainly by tunnel north to Sandgate Road, Gympie Road and the East-West Arterial, linking to Airport Drive. 	NA	NA	Under construction	Transport & Storage	Road	Queensland	NA	NA	402.0	Mar 2010	Late 2008	NA	~	NA	NA	NA	4800.0	Mid 2012	Engineering	Roads, highways and subdivisions	PPP	NA	NA	Mar10: Cost increased to $4.8 billion	NA	Public
